Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,330906997,2122301,5379,116929,104,842251,317,1163121,16613,6414,353,23857296,72097,Americas
Brazil,South America,212483982,831064,1162,41952,51,427610,30918,361502,8318,3911,197,1476057,6947,Americas
Russia,Europe,145931552,520129,8706,6829,114,274641,5271,238659,2300,3564,47,14574117,99870,Europe
India,Asia,1379307780,310760,1157,8895,5,155290,1059,146575,8944,225,6,5507182,3993,South-EastAsia
UK,Europe,67868549,292950,,41481,,,,,492,4316,611,6434713,94811,Europe
Spain,Europe,46753936,290289,,27136,,,,,617,6209,580,4465338,95507,Europe
Italy,Europe,60465875,236305,,34223,,173085,,28997,227,3908,566,4514441,74661,Europe
Peru,South America,32947280,220749,,6308,,107133,,107308,1089,6700,191,1315417,39925,Americas
Germany,Europe,83771107,187256,5,8863,,171900,300,6493,447,2235,106,4694147,56035,Europe
Iran,Asia,83936074,184955,2410,8730,71,146748,2099,29477,2755,2204,104,1219400,14528,EasternMediterranean
Turkey,Asia,84292030,175218,,4778,,149102,,21338,664,2079,57,2541903,30156,Europe
Chile,South America,19107883,167355,6509,3101,231,131358,,32896,1656,8758,162,819999,42914,Americas
France,Europe,65266664,156287,,29374,,72572,,54341,879,2395,450,1384633,21215,Europe
Mexico,North America,128862724,139196,5222,16448,504,101767,3703,20981,378,1080,128,393714,3055,Americas
Pakistan,Asia,220650245,132405,6472,2551,88,50056,9809,79798,111,600,12,839019,3802,EasternMediterranean
Saudi Arabia,Asia,34784389,123308,3366,932,39,82548,1519,39828,1843,3545,27,1087021,31250,EasternMediterranean
Canada,North America,37725348,97943,,8049,,58523,,31371,1929,2596,213,2072096,54926,Americas
Bangladesh,Asia,164605029,84379,2856,1139,44,17827,578,65413,1,513,7,489960,2977,South-EastAsia
Qatar,Asia,2807805,78416,1828,70,,55252,1956,23094,232,27928,25,286830,102155,EasternMediterranean
South Africa,Africa,59269206,61927,,1354,,35006,,25567,208,1045,23,1060425,17892,Africa
Belgium,Europe,11587177,59918,99,9650,4,16547,49,33721,88,5171,833,1010059,87170,Europe
Belarus,Europe,9449466,53241,721,303,5,29111,1351,23827,92,5634,32,714324,75594,Europe
Sweden,Europe,10096150,50931,180,4874,20,,,,272,5045,483,325000,32190,Europe
Netherlands,Europe,17133075,48640,179,6057,4,,,,77,2839,354,455067,26561,Europe
Colombia,South America,50854810,46858,,1545,,18715,,26598,335,921,30,470351,9249,Americas
Ecuador,South America,17628541,45778,,3828,,22679,,19271,219,2597,217,128175,7271,Americas
UAE,Asia,9884125,41990,491,288,1,26761,815,14941,1,4248,29,2626000,265679,EasternMediterranean
Egypt,Africa,102226041,41303,,1422,,11108,,28773,41,404,14,135000,1321,EasternMediterranean
Singapore,Asia,5848027,40197,347,25,,28808,768,11364,1,6874,4,488695,83566,WesternPacific
Indonesia,Asia,273373988,37420,1014,2091,43,13776,563,21553,,137,8,495527,1813,South-EastAsia
Portugal,Europe,10198041,36463,283,1512,7,22438,238,12513,77,3575,148,975737,95679,Europe
Kuwait,Asia,4267163,35466,514,289,4,25882,834,9295,176,8311,68,332288,77871,EasternMediterranean
Switzerland,Europe,8651455,31094,31,1938,,28800,,356,15,3594,224,453745,52447,Europe
Ukraine,Europe,43745133,30506,753,880,10,13976,409,15650,306,697,20,479111,10952,Europe
Poland,Europe,37848507,29017,440,1237,15,14104,299,13676,77,767,33,1169088,30889,Europe
Argentina,South America,45174623,28764,,802,17,9083,340,18879,274,637,18,228324,5054,Americas
Philippines,Asia,109503524,25392,605,1074,22,5706,252,18612,82,232,10,495449,4525,WesternPacific
Ireland,Europe,4934915,25250,,1705,,22698,,847,28,5117,345,367780,74526,Europe
Afghanistan,Asia,38877379,24102,556,451,5,4201,273,19450,19,620,12,54770,1409,EasternMediterranean
Dominican Republic,North America,10842314,22572,564,577,9,13084,330,8911,110,2082,53,100035,9226,Americas
Oman,Asia,5098867,22077,1006,99,3,7530,41,14448,94,4330,19,136164,26705,EasternMediterranean
Romania,Europe,19243203,21679,275,1394,14,15635,190,4650,171,1127,72,552670,28720,Europe
Panama,North America,4311067,19211,,421,,13759,,5031,96,4456,98,87041,20190,Americas
Iraq,Asia,40170062,18950,1180,549,53,7515,647,10886,111,472,14,359950,8961,EasternMediterranean
Israel,Asia,9197590,18876,81,300,,15319,31,3257,33,2052,33,739627,80415,Europe
Bahrain,Asia,1697730,17713,444,37,1,12191,288,5485,12,10433,22,410842,241995,EasternMediterranean
Japan,Asia,126493785,17332,,922,,15493,,917,82,137,7,332207,2626,WesternPacific
Austria,Europe,9003870,17078,14,677,2,16012,27,389,11,1897,75,520976,57861,Europe
Bolivia,South America,11664526,16929,764,559,26,2431,59,13939,71,1451,48,42741,3664,Americas
Armenia,Asia,2962981,16004,723,264,6,6081,442,9659,10,5401,89,80130,27044,Europe
Nigeria,Africa,205836204,15181,,399,,4891,,9891,7,74,2,88432,430,Africa
Kazakhstan,Asia,18764924,14238,366,72,2,8829,,5337,77,759,4,1050098,55961,Europe
Serbia,Europe,8738929,12251,76,253,1,11348,,650,15,1402,29,301126,34458,Europe
Denmark,Europe,5791221,12139,40,597,3,11035,42,507,11,2096,103,786198,135757,Europe
S. Korea,Asia,51267124,12051,48,277,,10691,22,1083,15,235,5,1094704,21353,WesternPacific
Ghana,Africa,31035817,11118,262,48,,3979,58,7091,4,358,2,245448,7909,Africa
Moldova,Europe,4034386,11093,,395,10,6421,192,4277,378,2750,98,63328,15697,Europe
Algeria,Africa,43806931,10698,,751,,7322,,2625,39,244,17,,,Africa
Czechia,Europe,10708043,9942,4,329,,7215,,2398,14,928,31,494805,46209,Europe
Azerbaijan,Asia,10134524,9218,,113,,5116,,3989,66,910,11,362654,35784,Europe
Guatemala,North America,17897027,8982,421,351,17,1702,135,6929,5,502,20,31427,1756,Americas
Morocco,Africa,36887633,8683,73,212,,7664,46,807,7,235,6,398737,10810,EasternMediterranean
Cameroon,Africa,26506586,8681,,212,,4836,,3633,28,328,8,,,Africa
Norway,Europe,5419109,8625,5,242,,8138,,245,5,1592,45,277253,51162,Europe
Malaysia,Asia,32344058,8445,43,120,1,7311,143,1014,4,261,4,618360,19118,WesternPacific
Honduras,North America,9896013,8132,463,306,12,844,7,6982,13,822,31,21540,2177,Americas
Australia,Australia/Oceania,25484418,7302,12,102,,6812,29,388,2,287,4,1782651,69951,WesternPacific
Finland,Europe,5540315,7087,14,325,,6200,,562,2,1279,59,217300,39222,Europe
Sudan,Africa,43789277,6879,,433,,2416,,4030,,157,10,401,9,EasternMediterranean
Nepal,Asia,29107633,5335,273,18,2,913,36,4404,,183,0.6,317870,10921,South-EastAsia
Senegal,Africa,16717343,4996,145,60,4,3228,128,1708,23,299,4,59008,3530,Africa
Tajikistan,Asia,9525198,4971,69,50,1,3288,130,1633,,522,5,,,Europe
Uzbekistan,Asia,33443106,4937,68,19,,3837,79,1081,16,148,0.6,748555,22383,Europe
DRC,Africa,89391169,4724,87,106,5,595,15,4023,,53,1,,,Africa
Ivory Coast,Africa,26339495,4684,,45,,2263,,2376,,178,2,35179,1336,Africa
Djibouti,Africa,987227,4449,8,41,3,2823,93,1585,,4507,42,40855,41384,EasternMediterranean
Guinea,Africa,13111180,4426,,24,,3106,,1296,24,338,2,14407,1099,Africa
